e	1	1
e	5	1
e	563	1
e	2	2
e	10	2
e	563	2
e	3	3
e	11	3
e	34	3
e	35	3
e	104	3
e	475	3
e	4	4
e	7	4
e	27	4
e	101	4
e	102	4
e	103	4
e	5	5
e	9	5
e	6	6
e	7	6
e	37	6
e	98	6
e	103	6
e	7	7
e	37	7
e	101	7
e	102	7
e	103	7
e	8	8
e	26	8
e	35	8
e	724	8
e	9	9
e	10	9
e	104	9
e	10	10
e	104	10
e	11	11
e	12	11
e	38	11
e	566	11
e	12	12
e	13	13
e	34	13
e	104	13
e	14	14
e	413	14
e	15	15
e	16	15
e	17	15
e	18	15
e	19	15
e	411	15
e	16	16
e	17	17
e	18	18
e	19	19
e	20	20
e	21	20
e	37	20
e	102	20
e	21	21
e	22	21
e	23	21
e	24	21
e	25	21
e	22	22
e	23	23
e	24	24
e	25	25
e	26	26
e	35	26
e	27	27
e	28	27
e	29	27
e	30	27
e	101	27
e	28	28
e	29	29
e	30	30
e	31	31
e	32	31
e	100	31
e	32	32
e	100	32
e	33	33
e	100	33
e	34	34
e	104	34
e	553	34
e	35	35
e	104	35
e	710	35
e	36	36
e	711	36
e	37	37
e	102	37
e	38	38
e	39	38
e	98	38
e	412	38
e	39	39
e	99	39
e	40	40
e	41	40
e	43	40
e	45	40
e	41	41
e	42	41
e	44	41
e	42	42
e	43	43
e	146	43
e	44	44
e	486	44
e	45	45
e	49	45
e	46	46
e	48	46
e	47	47
e	48	47
e	48	48
e	54	48
e	506	48
e	49	49
e	50	49
e	53	49
e	50	50
e	51	50
e	52	50
e	51	51
e	52	52
e	125	52
e	53	53
e	54	53
e	55	53
e	54	54
e	425	54
e	445	54
e	447	54
e	55	55
e	56	56
e	63	56
e	57	57
e	66	57
e	58	58
e	70	58
e	59	59
e	67	59
e	60	60
e	68	60
e	61	61
e	130	61
e	62	62
e	129	62
e	63	63
e	64	63
e	65	63
e	64	64
e	71	64
e	131	64
e	226	64
e	65	65
e	1095	65
e	66	66
e	67	66
e	68	66
e	74	66
e	183	66
e	226	66
e	67	67
e	68	67
e	69	67
e	68	68
e	74	68
e	90	68
e	201	68
e	69	69
e	70	69
e	70	70
e	182	70
e	196	70
e	1063	70
e	1065	70
e	1074	70
e	71	71
e	72	71
e	72	72
e	73	72
e	121	72
e	73	73
e	74	74
e	75	74
e	76	74
e	78	74
e	80	74
e	119	74
e	75	75
e	204	75
e	810	75
e	918	75
e	76	76
e	77	76
e	78	76
e	127	76
e	77	77
e	1050	77
e	78	78
e	79	78
e	452	78
e	79	79
e	416	79
e	417	79
e	454	79
e	80	80
e	81	80
e	447	80
e	452	80
e	81	81
e	448	81
e	450	81
e	464	81
e	82	82
e	94	82
e	83	83
e	94	83
e	84	84
e	95	84
e	85	85
e	87	85
e	126	85
e	86	86
e	87	86
e	241	86
e	251	86
e	253	86
e	267	86
e	269	86
e	283	86
e	291	86
e	293	86
e	294	86
e	302	86
e	315	86
e	87	87
e	88	87
e	88	88
e	89	89
e	105	89
e	115	89
e	90	90
e	91	90
e	91	91
e	92	91
e	108	91
e	115	91
e	116	91
e	92	92
e	93	92
e	93	93
e	94	93
e	252	93
e	264	93
e	271	93
e	288	93
e	292	93
e	293	93
e	294	93
e	322	93
e	323	93
e	324	93
e	325	93
e	326	93
e	94	94
e	96	94
e	264	94
e	318	94
e	325	94
e	95	95
e	97	95
e	262	95
e	268	95
e	300	95
e	96	96
e	145	96
e	704	96
e	705	96
e	97	97
e	268	97
e	98	98
e	99	99
e	413	99
e	100	100
e	725	100
e	732	100
e	101	101
e	102	101
e	103	101
e	102	102
e	103	102
e	103	103
e	478	103
e	104	104
e	105	105
e	106	105
e	109	105
e	106	106
e	107	107
e	108	107
e	108	108
e	110	108
e	109	109
e	1029	109
e	110	110
e	111	110
e	328	110
e	367	110
e	370	110
e	111	111
e	367	111
e	368	111
e	701	111
e	112	112
e	113	112
e	370	112
e	686	112
e	113	113
e	114	113
e	115	113
e	690	113
e	114	114
e	1009	114
e	115	115
e	116	116
e	117	116
e	126	116
e	117	117
e	118	118
e	119	118
e	119	119
e	123	119
e	120	120
e	121	120
e	121	121
e	122	121
e	504	121
e	122	122
e	123	122
e	124	122
e	123	123
e	125	123
e	124	124
e	125	124
e	127	124
e	125	125
e	126	125
e	129	125
e	546	125
e	126	126
e	129	126
e	127	127
e	128	127
